Product name,short description,Full description,Category,Approx price per unit,Origin,Certifications
Haritaki Powder,Detox and digestive aid,Haritaki (Terminalia chebula) powder is a key Ayurvedic herb for detoxification digestion        and rejuvenation; often used in Triphala formulations and exported for supplements.,Ayurvedic,120 per kg,India,"Organic, GMP, AYUSH Certified"
Kalonji Seed Powder,Immune and digestive support,Kalonji (Nigella sativa) seed powder or black seed	is used in herbal medicine for immunity	digestion	and respiratory health; exported for culinary and medicinal use.,Herbal,300 per kg,India,"Organic, GMP, Kosher Certified"
Trikatu Powder,Digestive and metabolism booster,Trikatu a blend of black pepper	long pepper	and ginger	stimulates digestion	boosts metabolism	and supports respiratory health in Ayurveda.,Ayurvedic,250 per kg,India,"Organic, GMP, AYUSH Certified"
Vetiver Essential Oil,Cooling oil for skin and relaxation,Vetiver (Vetiveria zizanioides) essential oil known as Khus	is used in Ayurveda for its cooling	calming	and skin-soothing properties; popular in perfumes and cosmetics.,Herbal,5000 per liter,India,"Organic, GMP, ISO Certified"
Punarnava Powder,Kidney and liver support,Punarnava (Boerhavia diffusa) powder is an Ayurvedic herb that supports kidney function reduces water retention	and promotes liver health; exported for supplements.,Ayurvedic,180 per kg,India,"Organic, GMP, Halal Certified"
Cinnamon Bark Powder,Antioxidant spice for blood sugar control,Cinnamon (Cinnamomum verum) bark powder is used in herbal medicine for its antioxidant properties blood sugar regulation	and anti-inflammatory benefits.,Herbal,350 per kg,India,"Organic, GMP, Kosher Certified"
Cardamom Pods,Premium aromatic spice,Cardamom (Elettaria cardamomum) pods are prized for their sweet floral flavor; used in Ayurveda for digestion	oral health	and as a breath freshener. Highly valued in global culinary markets.,Herbal,3000 per kg,India,"Organic, GMP, ISO Certified"
Black Pepper Whole,Spicy digestion aid,Black Pepper (Piper nigrum) whole corns are a staple spice with piperine used in Ayurveda to stimulate digestion        enhance metabolism        and support respiratory health.,Herbal,600 per kg,India,"Organic, GMP, Kosher Certified"
Cumin Seeds,Flavorful digestive spice,Cumin (Cuminum cyminum) seeds are used in Ayurveda for digestive health immunity	and anti-inflammatory benefits; a key export for culinary and medicinal uses.,Herbal,400 per kg,India,"Organic, GMP, Halal Certified"
Coriander Seeds,Mild spice for digestion,Coriander (Coriandrum sativum) seeds have a citrusy flavor used in Ayurveda to aid digestion	reduce bloating	and support liver function; widely exported for culinary blends.,Herbal,200 per kg,India,"Organic, GMP, ISO Certified"
Fennel Seeds,Sweet digestive and cooling spice,Fennel (Foeniculum vulgare) seeds are used in Ayurveda for digestion cooling the body	and as a mouth freshener; popular in global spice markets and herbal teas.,Herbal,250 per kg,India,"Organic, GMP, AYUSH Certified"
Cloves Whole,Aromatic spice for pain relief,Cloves (Syzygium aromaticum) are used in Ayurveda for dental pain relief digestion	and antimicrobial properties; high demand in culinary and medicinal exports.,Herbal,800 per kg,India,"Organic, GMP, Kosher Certified"
Star Anise,Flavorful spice for respiratory health,Star Anise (Illicium verum) is used in Ayurveda for its antimicrobial and expectorant properties aiding respiratory health and digestion; exported for culinary and herbal use.,Herbal,700 per kg,India,"Organic, GMP, ISO Certified"
Ajwain Seeds,Carminative spice for digestion,Ajwain (Trachyspermum ammi) seeds also called carom	are used in Ayurveda to relieve indigestion	bloating	and respiratory issues; popular in global spice blends.,Herbal,300 per kg,India,"Organic, GMP, Halal Certified"
Mustard Seeds,Pungent spice for metabolism,Mustard (Brassica juncea) seeds are used in Ayurveda for their warming properties aiding metabolism and muscle pain relief; widely exported for culinary uses. ,Herbal,100 per kg,India,"Organic, GMP, ISO Certified"
Nutmeg Whole,Warming spice for sleep and digestion,Nutmeg (Myristica fragrans) is used in Ayurveda to promote sleep digestion	and relieve pain; exported for culinary	medicinal	and cosmetic applications.,Herbal,1000 per kg,India,"Organic, GMP, Kosher Certified"
Bay Leaves,Aromatic spice for digestion,"Bay leaves (Laurus nobilis) are used in Ayurveda to aid digestion, reduce inflammation, and support respiratory health; widely exported for culinary use in soups and stews.",Herbal,150 per kg,India,"Organic, GMP, ISO Certified"
Asafoetida Powder,Pungent digestive spice,"Asafoetida (Ferula assa-foetida) powder, or hing, is used in Ayurveda to relieve bloating, improve digestion, and act as an antimicrobial; a high-demand spice in global cuisines.",Herbal,2000 per kg,India,"Organic, GMP, Halal Certified"
Fenugreek Seeds,Spice for digestion and lactation,"Fenugreek (Trigonella foenum-graecum) seeds are used in Ayurveda to support digestion, blood sugar control, and lactation; exported for culinary and medicinal purposes.",Herbal,100 per kg,India,"Organic, GMP, Kosher Certified"
Dried Red Chili,Potent spice for metabolism,"Dried Red Chili (Capsicum annuum) is used in Ayurveda for its warming properties, boosting metabolism, and pain relief; a staple in global spice markets.",Herbal,250 per kg,India,"Organic, GMP, ISO Certified"
Mace Whole,Aromatic spice for digestion,"Mace (Myristica fragrans), the outer covering of nutmeg, is used in Ayurveda for digestion, cognitive health, and anti-inflammatory benefits; exported for premium culinary use.",Herbal,1500 per kg,India,"Organic, GMP, Kosher Certified"
Caraway Seeds,Digestive and carminative spice,"Caraway (Carum carvi) seeds are used in Ayurveda to relieve bloating, support digestion, and promote respiratory health; exported for culinary and herbal applications.",Herbal,350 per kg,India,"Organic, GMP, ISO Certified"
White Pepper Whole,Mild spice for digestion,"White Pepper (Piper nigrum) is used in Ayurveda for digestion, respiratory health, and antimicrobial properties; valued in global markets for its milder flavor.",Herbal,700 per kg,India,"Organic, GMP, Halal Certified"
Tamarind Powder,Sour spice for digestion,"Tamarind (Tamarindus indica) powder is used in Ayurveda to aid digestion, support liver health, and as a natural laxative; popular in culinary exports for its tangy flavor.",Herbal,200 per kg,India,"Organic, GMP, ISO Certified"
Long Pepper,Digestive and respiratory spice,"Long Pepper (Piper longum), or pippali, is used in Ayurveda to enhance digestion, metabolism, and respiratory function; exported for medicinal and culinary blends.",Ayurvedic,600 per kg,India,"Organic, GMP, AYUSH Certified"
Long Pepper,Digestive and respiratory spice,Long Pepper (Piper longum)or pippali        is used in Ayurveda to enhance digestion        metabolism        and respiratory function; exported for medicinal and culinary blends.        ,Ayurvedic ,600 per kg,India,"Organic, GMP, AYUSH Certified"
Safflower Seeds,Heart-healthy spice,Safflower (Carthamus tinctorius) seeds are used in Ayurveda for cardiovascular health and as a mild laxative; exported for culinary oils and herbal supplements.,Herbal,300 per kg,India,"Organic, GMP, ISO Certified"
Sesame Seeds,Nutrient-rich seeds for health and cooking,"Sesame (Sesamum indicum) seeds are packed with healthy fats, proteins, and minerals like calcium and magnesium; used in Ayurveda for joint health, skin nourishment, and as a digestive aid; exported for culinary and oil production.",Herbal,200 per kg,India,"Organic, GMP, ISO Certified"
Poppy Seeds,Calming seeds for sleep and pain relief,"Poppy (Papaver somniferum) seeds are used in Ayurveda to promote sleep, relieve pain, and support digestion; rich in healthy fats and minerals; exported for baking, spices, and supplements.",Ayurvedic,1400 per kg,India,"Organic, GMP, Halal Certified"
Amchur Powder,Tangy spice for digestion and flavor,"Amchur (dried mango) powder from unripe mangoes adds a sour tang to dishes, aids digestion, and balances doshas in Ayurveda; exported for culinary blends and health products.",Ayurvedic,150 per kg,India,"Organic, GMP, AYUSH Certified"
Dried Curry Leaves,Aromatic leaves for digestion and hair health,"Dried curry leaves (Murraya koenigii) enhance flavor in Ayurvedic cooking, support digestion, and promote hair growth; rich in antioxidants; exported for spices and herbal teas.",Herbal,60 per kg,India,"Organic, GMP, ISO Certified"
Sabja Seeds,Cooling seeds for hydration and weight management,"Sabja (Ocimum basilicum) seeds, or basil seeds, absorb water to provide hydration, aid weight loss, and cool the body in Ayurveda; exported for beverages and health supplements.",Ayurvedic,470 per kg,India,"Organic, GMP, Kosher Certified"
Dill Seeds,Digestive spice for bloating relief,"Dill (Anethum graveolens) seeds relieve bloating, improve digestion, and act as a diuretic in Ayurvedic medicine; exported for culinary and herbal uses.",Ayurvedic,150 per kg,India,"Organic, GMP, Halal Certified"
Celery Seeds,Diuretic seeds for joint and urinary health,"Celery (Apium graveolens) seeds support joint health, reduce inflammation, and promote urinary function in Ayurveda; exported for spices and supplements.",Ayurvedic,190 per kg,India,"Organic, GMP, ISO Certified"
Anise Seeds,Sweet spice for respiratory and digestive aid,"Anise (Pimpinella anisum) seeds aid respiration, digestion, and lactation in herbal traditions; exported for teas, confectionery, and aromatherapy.",Herbal,455 per kg,India,"Organic, GMP, AYUSH Certified"
Cassia Bark,Warming bark for circulation and digestion,"Cassia (Cinnamomum cassia) bark improves circulation, aids digestion, and balances blood sugar in Ayurveda; exported for spices and essential oils.",Ayurvedic,178 per kg,India,"Organic, GMP, Kosher Certified"
Dried Kokum,Sour fruit for cooling and weight loss,"Dried kokum (Garcinia indica) rinds provide a cooling effect, aid weight loss, and improve digestion in Ayurvedic practices; exported for beverages and curries.",Ayurvedic,300 per kg,India,"Organic, GMP, ISO Certified"
Rose Essential Oil,Floral oil for skin and mood,"Rose (Rosa damascena) essential oil is prized in Ayurveda for its calming, skin-rejuvenating, and mood-enhancing properties; widely exported for perfumes, skincare, and aromatherapy.",Herbal,25000 per liter,India,"Organic, GMP, ISO Certified"
Jasmine Essential Oil,Aromatic oil for relaxation,"Jasmine (Jasminum grandiflorum) essential oil is used in Ayurveda for its uplifting, stress-relieving, and skin-nourishing effects; high demand in global perfumery and cosmetics.",Herbal,30000 per liter,India,"Organic, GMP, Halal Certified"
Frankincense Essential Oil,Resin oil for meditation and healing,"Frankincense (Boswellia serrata) essential oil supports meditation, reduces inflammation, and promotes skin healing in Ayurveda; exported for aromatherapy and wellness products.",Ayurvedic,4000 per liter,India,"Organic, GMP, AYUSH Certified"
Eucalyptus Essential Oil,Respiratory and cooling oil,"Eucalyptus (Eucalyptus globulus) essential oil is used in Ayurveda for respiratory relief, muscle pain, and antimicrobial properties; popular in global pharmaceuticals and cosmetics.",Herbal,1500 per liter,India,"Organic, GMP, ISO Certified"
Lavender Essential Oil,Calming oil for sleep and skin,"Lavender (Lavandula angustifolia) essential oil promotes relaxation, improves sleep, and soothes skin irritations in Ayurveda; widely exported for aromatherapy and skincare.",Herbal,3500 per liter,India,"Organic, GMP, Kosher Certified"
Tea Tree Essential Oil,Antimicrobial oil for skin health,"Tea Tree (Melaleuca alternifolia) essential oil is valued in Ayurveda for its antibacterial and antifungal properties, used in skincare and haircare products globally.",Herbal,2800 per liter,India,"Organic, GMP, ISO Certified"
Clove Bud Essential Oil,Antiseptic oil for dental and pain relief,"Clove (Syzygium aromaticum) bud essential oil is used in Ayurveda for dental care, pain relief, and antimicrobial effects; exported for oral care and medicinal products.",Herbal,2000 per liter,India,"Organic, GMP, Halal Certified"
Patchouli Essential Oil,Earthy oil for skin and mood,"Patchouli (Pogostemon cablin) essential oil is used in Ayurveda for its grounding, skin-healing, and mood-balancing properties; popular in global perfumes and cosmetics.",Herbal,4500 per liter,India,"Organic, GMP, ISO Certified"
Cedarwood Essential Oil,Woody oil for relaxation and scalp health,"Cedarwood (Cedrus deodara) essential oil supports relaxation, scalp health, and insect-repellent properties in Ayurveda; exported for aromatherapy and haircare.",Ayurvedic,1800 per liter,India,"Organic, GMP, AYUSH Certified"
Basil Essential Oil,Stimulating oil for focus and digestion,"Basil (Ocimum basilicum) essential oil, or Tulsi oil, enhances focus, supports digestion, and reduces stress in Ayurveda; exported for aromatherapy and wellness.",Ayurvedic,2200 per liter,India,"Organic, GMP, ISO Certified"
Foxnuts (Makhana),Nutritious low-calorie snack,"Foxnuts (Euryale ferox), also known as makhana or lotus seeds, are a gluten-free, protein-rich snack used in Ayurveda for weight management, heart health, and anti-aging; exported for snacks and supplements.",Ayurvedic,1200 per kg,India,"Organic, GMP, AYUSH Certified"
Cashew Nuts,Premium nut for snacking and cooking,Cashews (Anacardium occidentale) are nutrient-dense nuts used in Ayurveda for energy and brain health; high global demand for culinary and confectionery exports.,Dry Fruit,800 per kg,India,"Organic, GMP, ISO Certified"
Almonds,Heart-healthy nut with antioxidants,"Almonds (Prunus dulcis) from Kashmir are rich in healthy fats, vitamin E, and antioxidants; used in Ayurveda for skin and heart health; exported for snacking and cosmetics.",Dry Fruit,900 per kg,India,"Organic, GMP, Kosher Certified"
Raisins,Sweet dried fruit for digestion,"Raisins (Vitis vinifera) from Maharashtra are used in Ayurveda for digestion and energy; high export demand for baking, snacking, and health products.",Dry Fruit,300 per kg,India,"Organic, GMP, Halal Certified"
Pistachios,Protein-rich nut for vitality,Pistachios (Pistacia vera) are used in Ayurveda for vitality and heart health; exported for premium snacking and confectionery markets.,Dry Fruit,1200 per kg,India,"Organic, GMP, ISO Certified"
Walnuts,Brain-boosting nut with omega-3,Walnuts (Juglans regia) are used in Ayurveda for cognitive health and anti-inflammatory benefits; high demand in global markets for snacks and baking.,Dry Fruit,1000 per kg,India,"Organic, GMP, Kosher Certified"
Chia Seeds,Superfood for digestion and energy,"Chia (Salvia hispanica) seeds are rich in omega-3, fiber, and antioxidants; used in herbal diets for digestion and stamina; growing export demand for health foods.",Herbal,500 per kg,India,"Organic, GMP, ISO Certified"
Flax Seeds,Heart-healthy seeds with omega-3,"Flax (Linum usitatissimum) seeds are used in Ayurveda for heart health, digestion, and hormonal balance; exported for supplements and health foods.",Herbal,150 per kg,India,"Organic, GMP, Halal Certified"
Himalayan Pink Salt,Mineral-rich seasoning,Himalayan pink salt is used in Ayurveda for balancing electrolytes and digestion; exported for culinary and wellness products due to its mineral content.,Herbal,100 per kg,India,"Organic, GMP, ISO Certified"
Psyllium Husk,Fiber-rich digestive aid,Psyllium (Plantago ovata) husk is used in Ayurveda for digestive health and cholesterol management; high export demand for supplements and gluten-free products.,Ayurvedic,400 per kg,India,"Organic, GMP, AYUSH Certified"
Honey,Premium natural sweetener,"Honey from India, including raw and monofloral varieties like Sidr and Acacia, is valued in Ayurveda for immunity, digestion, and wound healing; high export demand in USA and UAE for food and wellness.",Natural,500 per kg,India,"Organic, NMR, FSSAI Certified"
Saffron Milk Masala,Ayurvedic spice blend for health,"Saffron milk masala is a blend of saffron, cardamom, and nuts used in Ayurveda to enhance immunity, sleep, and digestion; exported for premium beverage and health markets.",Ayurvedic,2000 per kg,India,"Organic, GMP, ISO Certified"
Ghee,Clarified butter for cooking and health,"Ghee (clarified butter) is a staple in Ayurveda for digestion, energy, and skin health; high demand in global markets for culinary and wellness products, especially organic variants.",Natural,1000 per kg,India,"Organic, GMP, AYUSH Certified"
Jaggery,Natural sweetener with minerals,"Jaggery, made from sugarcane or palm, is used in Ayurveda for detoxification and digestion; exported for health foods and confectionery due to its rich mineral content.",Natural,100 per kg,India,"Organic, FSSAI, ISO Certified"
Chyawanprash,Ayurvedic immunity jam,"Chyawanprash is a herbal jam with amla, herbs, and ghee, used in Ayurveda for immunity, energy, and rejuvenation; high export demand for wellness and nutraceutical markets.",Ayurvedic,600 per kg,India,"Organic, GMP, AYUSH Certified"
Organic Basmati Rice,Premium aromatic rice,"Organic basmati rice, grown in northern India, is valued for its aroma and health benefits; used in Ayurvedic diets; major export to Middle East, USA, and Europe.",Natural,200 per kg,India,"Organic, APEDA, ISO Certified"
Seabuckthorn Juice,Antioxidant-rich health drink,"Seabuckthorn (Hippophae rhamnoides) juice from Himalayan regions is used in Ayurveda for immunity, skin health, and anti-aging; exported for beverages and supplements.",Herbal,1500 per liter,India,"Organic, GMP, ISO Certified"
Kashmiri Saffron Threads,High-value spice for health,"Kashmiri saffron (Crocus sativus) is prized in Ayurveda for mood enhancement, digestion, and skin health; premium export for culinary and medicinal use.",Herbal,150000 per kg,India,"Organic, GMP, Halal Certified"
Moringa Oil,Nutrient-rich oil for skin and hair,"Moringa (Moringa oleifera) oil is used in Ayurveda for skin hydration, hair growth, and anti-aging; high export demand in cosmetics and wellness industries.",Herbal,3000 per liter,India,"Organic, GMP, ISO Certified"
Ayurvedic Hair Oil,Herbal blend for hair health,"A blend of herbs like amla, bhringraj, and brahmi in a coconut or sesame base; used in Ayurveda for hair growth and scalp health; exported for global haircare markets.",Ayurvedic,1200 per liter,India,"Organic, GMP, AYUSH Certified"
Stevia Powder,Natural zero-calorie sweetener,Stevia (Stevia rebaudiana) powder is a plant-based sweetener used in Ayurveda for blood sugar management; high export demand for health foods and diabetic-friendly products.,Herbal,2500 per kg,India,"Organic, GMP, ISO Certified"
Spirulina Powder,Superfood for immunity and energy,"Spirulina (Arthrospira platensis) powder is a nutrient-dense algae used in Ayurveda for immunity, detoxification, and energy; exported for supplements and health foods.",Ayurvedic,1500 per kg,India,"Organic, GMP, AYUSH Certified"
Agarwood Chips,Premium resin for incense and perfumery,Agarwood (Aquilaria malaccensis) chips are used in Ayurveda for aromatherapy and spiritual practices; high-value export for luxury incense and perfume industries.,Herbal,20000 per kg,India,"Organic, GMP, ISO Certified"
Indian Gooseberry Extract,Amla-based antioxidant extract,"Amla (Emblica officinalis) extract is rich in vitamin C and antioxidants, used in Ayurveda for immunity and skin health; exported for nutraceuticals and cosmetics.",Ayurvedic,3000 per kg,India,"Organic, GMP, Halal Certified"
Organic Green Tea,Antioxidant-rich tea,Organic green tea from Assam and Darjeeling is used in Ayurveda for metabolism and detoxification; high export demand in health-conscious markets like USA and Europe.,Herbal,800 per kg,India,"Organic, FSSAI, ISO Certified"
Shankhpushpi Powder,Brain tonic for memory and calm,"Shankhpushpi (Convolvulus pluricaulis) powder is used in Ayurveda to enhance memory, reduce stress, and support cognitive health; exported for supplements.",Ayurvedic,600 per kg,India,"Organic, GMP, AYUSH Certified"
Hemp Seed Oil,Nutrient-rich oil for skin and health,Hemp (Cannabis sativa) seed oil is used in Ayurveda for skin hydration and anti-inflammatory benefits; growing export demand in cosmetics and wellness sectors.,Herbal,4000 per liter,India,"Organic, GMP, ISO Certified"
Gudmar Powder,Anti-diabetic herbal powder,Gudmar (Gymnema sylvestre) powder is used in Ayurveda to regulate blood sugar and reduce sugar cravings; exported for diabetic supplements and health products.,Ayurvedic,700 per kg,India,"Organic, GMP, Halal Certified"
Rose Water,Hydrating floral water for skin,"Rose water from Rosa damascena is used in Ayurveda for skin hydration, cooling, and mood enhancement; exported for cosmetics, culinary, and wellness products.",Herbal,500 per liter,India,"Organic, GMP, ISO Certified"
Organic Quinoa,Protein-rich superfood grain,"Quinoa (Chenopodium quinoa) from India is a gluten-free, protein-rich grain used in Ayurvedic diets for energy and digestion; growing export demand for health foods.",Natural,600 per kg,India,"Organic, FSSAI, ISO Certified"
Hemp Seed Oil,Nutrient-rich oil for skin and health,Hemp (Cannabis sativa) seed oil is used in Ayurveda for skin hydration and anti-inflammatory benefits; growing export demand in cosmetics and wellness sectors.,Herbal,4000 per liter,India,"Organic, GMP, "
Gudmar Powder,Anti-diabetic herbal powder,Gudmar (Gymnema sylvestre) powder is used in Ayurveda to regulate blood sugar and reduce sugar cravings; exported for diabetic supplements and health products.,Ayurvedic,700 per kg,India,"Organic, GMP, "
Rose Water,Hydrating floral water for skin,Rose water from Rosa damascena is used in Ayurveda for skin hydration cooling	and mood enhancement; exported for cosmetics	culinary	and wellness products.,Herbal,,,
Organic Quinoa,Protein-rich superfood grain,Quinoa (Chenopodium quinoa) from India is a gluten-free protein-rich grain used in Ayurvedic diets for energy and digestion; growing export demand for health foods.	Natural,Natural,600 per kg,India,Organic
Organic Turmeric Extract,High-potency curcumin extract,Turmeric (Curcuma longa) extract with 95% curcuminoids is used in Ayurveda for anti-inflammatory and antioxidant benefits; high export demand for supplements and pharmaceuticals.,Ayurvedic,8000 per kg,India,"Organic, GMP, AYUSH Certified"
Ashwagandha Extract,Stress-relief herbal extract,Ashwagandha (Withania somnifera) extract with high withanolide content is used in Ayurveda for stress reduction and vitality; exported for nutraceuticals and wellness products.,Ayurvedic,6000 per kg,India,"Organic, GMP, ISO Certified"
Neem Powder,Antibacterial herbal powder,"Neem (Azadirachta indica) powder is used in Ayurveda for skin health, detoxification, and as a natural pesticide; exported for cosmetics and organic farming.",Herbal,100 per kg,India,"Organic, GMP, Halal Certified"
Organic Matcha Powder,Premium antioxidant tea powder,Matcha from Indian tea estates is used in Ayurveda for energy and detoxification; growing export demand in health-conscious markets for beverages and superfoods.,Herbal,4000 per kg,India,"Organic, FSSAI, ISO Certified"
Mulethi Powder,Licorice for throat and digestion,"Mulethi (Glycyrrhiza glabra) root powder soothes coughs, supports digestion, and balances hormones in Ayurveda; exported for teas and supplements.",Ayurvedic,200 per kg,India,"Organic, GMP, Kosher Certified"
Organic Coffee Beans,Rich aromatic coffee,Organic coffee beans from Coorg and Wayanad are valued for their bold flavor; used in Ayurvedic diets for stimulation; exported to Europe and USA for premium coffee markets.,Natural,600 per kg,India,"Organic, FSSAI, ISO Certified"
Kutki Powder,Liver health herbal powder,Kutki (Picrorhiza kurroa) powder is used in Ayurveda for liver detoxification and digestive health; high export demand for supplements and herbal medicines.,Ayurvedic,2500 per kg,India,"Organic, GMP, AYUSH Certified"
Barley Grass Powder,Superfood for detox and energy,Barley grass (Hordeum vulgare) powder is a nutrient-dense superfood used in Ayurveda for detoxification and vitality; exported for health drinks and supplements.,Herbal,900 per kg,India,"Organic, GMP, ISO Certified"
Triphala Extract,Potent digestive herbal blend,"Triphala extract (blend of amla, haritaki, bibhitaki) is used in Ayurveda for digestion and detoxification; high export demand for nutraceuticals and wellness products.",Ayurvedic,3500 per kg,India,"Organic, GMP, AYUSH Certified"
Organic Millets,Nutrient-rich gluten-free grains,Millets like foxtail and barnyard are used in Ayurvedic diets for digestion and energy; growing export demand for gluten-free and health food markets.,Natural,150 per kg,India,"Organic, FSSAI, ISO Certified"
Safed Musli Powder,Aphrodisiac and vitality booster,"Safed Musli (Chlorophytum borivilianum) powder is used in Ayurveda for male vitality, stamina, and immunity; high export demand for supplements and nutraceuticals.",Ayurvedic,4000 per kg,India,"Organic, GMP, AYUSH Certified"
Giloy Extract,Immunity-enhancing extract,"Giloy (Tinospora cordifolia) extract, known as Guduchi, boosts immunity, supports liver health, and fights infections in Ayurveda; exported for wellness and pharmaceutical products.",Ayurvedic,2500 per kg,India,"Organic, GMP, ISO Certified"
Organic Moringa Capsules,Nutrient-dense superfood capsules,"Moringa (Moringa oleifera) capsules are packed with vitamins and antioxidants, used in Ayurveda for energy and detoxification; high demand in global health supplement markets.",Herbal,3000 per kg,India,"Organic, GMP, Halal Certified"
